Month,month_order,total_attendances,type1_attendances,total_breaches,breach_rate_pct,total_12hr_waits,total_emergency_admissions,admission_rate_pct
Apr-25,1,2209687.0,1354959.0,571127.0,42.2,44648.0,528230.0,23.9
May-25,2,2309298.0,1419306.0,581375.0,41.0,42891.0,545128.0,23.6
Jun-25,3,2268166.0,1395330.0,566734.0,40.6,38683.0,535941.0,23.6
Jul-25,4,2320374.0,1433180.0,560285.0,39.1,35467.0,559392.0,24.1
Aug-25,5,2182723.0,1351631.0,539040.0,39.9,35909.0,526399.0,24.1
Sep-25,6,2227502.0,1385429.0,567723.0,41.0,44765.0,535580.0,24.0
Oct-25,7,2314177.0,1449480.0,610640.0,42.1,54314.0,554193.0,23.9
Nov-25,8,2261926.0,1418397.0,595846.0,42.0,50648.0,531747.0,23.5
Dec-25,9,2240325.0,1407880.0,599421.0,42.6,50775.0,542195.0,24.2
Jan-26,10,2235959.0,1405298.0,629487.0,44.8,71517.0,546136.0,24.4
Feb-26,11,2043572.0,1271830.0,541635.0,42.6,54649.0,493015.0,24.1
Mar-26,12,2351317.0,1450980.0,549529.0,37.9,46665.0,553892.0,23.6
